계정항목별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
국내총생산,2796.6,3438,4267.7,5527.3,7905,10543.6,14472.8,18608.1,25154.5,32402.3,39725.1,49669.8,57286.6,68080.1,78591.3,88129.7,102985.8,121697.8,145994.7,165801.8,200556.2,242481.1,277540.8,315181.3,372493.4,436988.8,490850.9,542001.8,537215.3,591453,651634.4,707021.3,784741.3,837365,908439.2,957447.8,1005601.5,1089660.2,1154216.5,1205347.7,1322611.2,1388937.2,1440111.4,1500819.1,1562928.9,1658020.4,1740779.6,1835698.2,1898192.6,1924498.1,1940726.2,2071658
피용자보수,940.8,1161.8,1412.3,1844.6,2496,3380.2,4784.4,6475.4,9239.4,12365.1,15628.7,19326.2,22499.8,27262.3,31404.5,34925.8,40605.1,48793,60055.9,71436.9,87771.9,109446.3,124889.8,142065.6,166860.8,199033.2,228382.9,241867.1,230544.3,246337.6,270341.6,298033.2,329033.2,358607.2,388669.7,417040.2,443624.4,478053.2,506130.9,526569,562454.9,600437,629947.7,664645.5,702289.3,750213,786190.6,824416.3,868145.1,913408.8,935575.1,992666.8
영업잉여,1438.3,1758.4,2241.2,2848.3,4129.4,5323.9,7015.3,8600,11119.5,13642.6,15637.9,19758.4,22122.3,25234,30107.7,34133.7,40051.5,46269.8,53963.4,58362.1,66645.8,79765.9,88805.4,100454.7,120159.3,131187.7,137495.6,158333.4,158728.1,180569.5,200093.9,209589.7,238190.4,247006.9,275603,281498.3,287548.7,317217.5,321699,334585.3,389294.8,393791.8,396620.3,412513.8,419050.4,441465.2,464402.2,494643.9,489156.1,444916.3,413217.6,435129.7
고정자본소모,176.6,229.5,292.3,410.6,582.2,795.8,1100.7,1466.3,1913.4,2659.7,3813.3,4846.5,6029.5,7252.6,8110.2,9439.8,11310.4,13857.6,17107.2,19752.1,25187.9,29432.3,36115.1,41836.2,48274.4,63111.1,73963.9,85292.2,98216.1,103457.8,111977.3,122248.3,130686.4,141883.2,153883.7,163369,172344.8,183055,208027.8,226356,239137.3,257865.1,273351.1,283309.7,295214.1,309669.7,322804.4,339676.1,359140,381756.7,399762.4,432491.6
생산 및 수입세,266.7,316.7,355,462.8,762.1,1148.6,1624.4,2118.3,2939.6,3856,4814.8,5907.5,6781.1,8444.3,9105.1,9735.8,11148.2,12908.7,14944.9,16407.2,21146.2,24079.8,27976.8,31231.2,37650.6,44112.8,51832.3,57362.9,50419.5,61746.2,70022.8,78381.4,88661.3,92295.3,93507.6,99737,106343.7,116161.2,123114,122906.6,137470,141998.1,145914.4,146297.1,153011.8,164260.2,176135.6,186723.1,194182.7,196973.8,207468.4,227205.7
(공제)보조금,25.8,28.3,33.2,39,64.7,104.9,51.9,51.9,57.4,121.1,169.5,169,146.1,113.2,136.2,105.4,129.5,131.2,76.6,156.5,195.6,243.1,246.2,406.4,451.7,456,823.8,853.7,692.7,658.2,801.1,1231.3,1829.9,2427.5,3224.9,4196.7,4260,4826.7,4755.2,5069.1,5745.8,5154.7,5722,5947.1,6636.8,7587.7,8753.3,9761.1,12431.3,12557.5,15297.3,15835.9
국내총생산에대한지출,2796.6,3438,4267.7,5527.3,7905,10543.6,14472.8,18608.1,25154.5,32402.3,39725.1,49669.8,57286.6,68080.1,78591.3,88129.7,102985.8,121697.8,145994.7,165801.8,200556.2,242481.1,277540.8,315181.3,372493.4,436988.8,490850.9,542001.8,537215.3,591453,651634.4,707021.3,784741.3,837365,908439.2,957447.8,1005601.5,1089660.2,1154216.5,1205347.7,1322611.2,1388937.2,1440111.4,1500819.1,1562928.9,1658020.4,1740779.6,1835698.2,1898192.6,1924498.1,1940726.2,2071658
민간최종소비지출,2062.1,2592.4,3104.8,3798.6,5443.6,7285.7,9315.5,11361.5,15016.7,19439.7,24916.7,31181.5,35278.6,39796.8,44444.8,49305,54837.2,61775.8,71362.2,83899.4,100737.5,122044.7,141345.3,161104.5,192771.2,227069.5,261376.7,289425.1,270297.6,311176.9,355141.4,391691.7,440206.7,452736.5,468700.5,500910.9,533277.7,571809.5,606355.8,622808.6,667061.3,711118.8,738312.1,758005,780462.7,804812.4,834804.8,872791.4,911576.1,935933.8,900320.9,955779.6
정부최종소비지출,276.7,350,446.8,491,759.3,1169.3,1563.8,1988.7,2493.3,3185.1,4729.5,5996,6750.1,7569,8294.5,9356.3,10570.7,12151.4,14475.5,17833.1,22008.2,26073.5,30697.6,33878.7,38275.5,43870.9,50998.6,55339.9,61258.7,65511.9,71028.2,83110.7,92141.5,101757,112531.3,123149.4,134455.4,146481.6,162150.9,176711.6,187874.7,199627.2,211492.8,224770.8,237959.4,250088,265295.2,283045.8,304692.7,328663.2,350094.3,376218.8
총고정자본형성,722.9,803.1,915.6,1344.4,2151.2,2871.2,3818.8,5451.3,8435.4,11170.4,13059.2,14427.4,17015.1,20611.9,23347.9,25999.7,30281.8,36784.2,44724.7,54178.5,74874,94479.3,102710.9,114783.9,135604,162200.9,184057.7,193212.2,165286.4,177394,206895.1,217426.4,238400.6,261796.5,281905.8,291799.9,306642.4,328571.5,357759.5,372055.8,399785.9,418824.8,425613.8,436628,452590.1,481001.7,517349.9,578456.9,576587.2,579002.1,607454.8,654034.3
재고증감및귀중품순취득,13.3,55.7,1,93.3,425.8,136.4,180.9,150.8,239.1,972,459.5,1546.4,1297.6,1498.2,2035.4,2439.9,3306,2871.7,6104.5,6697.5,4452.1,5505.4,4803.8,3895.5,7852.9,8004,9453,8350.8,-16053.1,6032.3,7451.1,6013.1,5597.7,8501.6,13787.1,19449.1,25138.8,32078.5,30828.6,-17683.6,30751.9,43961.1,25380.8,11896.8,13013.9,8599.8,7367.8,14254.5,21100.2,27117.3,11337.7,10760.3
재화와서비스의수출,319.9,435.8,708.4,1322.4,1757.3,2388.4,3695.1,4847.2,6287.6,7664.7,11297.5,14871.1,15678.1,18984.6,22716,23681.9,32922.2,42369.4,47432.6,45361,50127.7,57653.7,66810.7,74611.2,89662.3,112412.1,121740.7,153633.2,212397.1,192759.4,221159.3,224746.1,233639.1,262914.5,333890.8,337817.1,358259.8,407447.7,549890.5,544640.6,622999.3,740827.6,779014.6,769801.2,747571.1,712775.7,698621,751428.5,791798.6,755863.2,705640.1,870831.7
(공제)재화와서비스의수입,590.7,791.2,915.1,1528.5,2632.4,3303.2,4102.9,5187.3,7350.6,10009,14734.7,18472.9,18825,20442.1,22370.1,22724.6,28979.5,34300.4,38271.6,42370.8,51655.2,63162.7,68516.6,73267.7,91615.3,116849.8,136711.8,158142.7,155581.8,160709.2,209539.5,215189.4,224281.3,249340.2,302159.4,316357.3,352216.5,397533.6,552575,493569,585862,725422.2,739702.8,700282.7,668668.2,599257.2,582659.1,664278.8,707562.2,702081.5,634121.7,796694.3
통계상불일치,-7.6,-7.6,6.1,6.1,0.2,-4.2,1.7,-4.1,33.1,-20.6,-2.6,120.2,92,61.6,122.8,71.5,47.5,45.6,167,203.2,11.9,-112.8,-310.9,175.3,-57.2,281.2,-64,183.3,-389.6,-712.2,-501.1,-777.2,-963,-1000.9,-216.9,678.8,43.9,804.9,-193.8,383.8,0,0,0,0,0,0,0,0,0,0,0,727.5
국외순수취요소소득,50.8,26.2,9.3,5.4,28.4,-85.3,-64.1,-53.2,72.9,-56.4,-361.5,-676.8,-529.7,-710.1,-1111.7,-1932.5,-2213.7,-1474,-1130.8,-487.7,-200.9,-246.6,-368.2,-420.8,-938.7,-1604,-1721.5,-2911,-6953.1,-6523.6,-4360.2,-4784.9,-2912.5,-2921.8,-1574.5,-6762.3,-2936.8,-2762.9,293.2,-1867.9,1975.7,8597.6,15058.9,9565.8,7564.4,5186.2,6363.9,7482.6,7644.9,16609.8,16943.8,23063.3
국민총소득,2847.4,3464.3,4277,5532.7,7933.4,10458.3,14408.7,18554.9,25227.5,32345.9,39363.6,48993,56756.9,67370.1,77479.6,86197.2,100772.1,120223.8,144864,165314.1,200355.3,242234.5,277172.6,314760.4,371554.7,435384.8,489129.4,539090.8,530262.2,584929.4,647274.2,702236.4,781828.8,834443.2,906864.7,950685.4,1002664.7,1086897.3,1154509.7,1203479.8,1324586.9,1397534.8,1455170.3,1510384.9,1570493.3,1663206.6,1747143.5,1843180.9,1905837.5,1941107.9,1957669.9,2094721.3
